,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/tsimane_C10_20170709_16440,23.054394573557985,0.2610110710951064,0.0,0.18202766511491592,0.0,0.7096809924678769
test/tsimane_C10_20170709_20040,56.44620935528197,0.42438642397387216,0.0,0.570250788468418,1.0,0.8276732553218088
test/tsimane_C10_20170709_2040,49.388056631835724,0.20841446605552755,0.3406219151036528,0.35816032879419024,1.0,0.5622061216384158
test/tsimane_C10_20170709_23640,52.00071160181699,1.0,0.0,0.33018480492813185,0.5626709593086584,0.7071798158540589
test/tsimane_C10_20170709_27240,49.90952598255939,0.3439368966329174,0.0,0.4250684752836826,1.0,0.7264709272113699
test/tsimane_C10_20170709_30840,94.40529771646794,0.8121833839918948,1.0,1.0,1.0,0.9080815018315019
test/tsimane_C10_20170709_34440,54.49717879970388,0.36836681191126225,1.0,0.5496816429019821,0.0,0.8068104851719493
test/tsimane_C10_20170709_38040,35.705841515496566,0.0,0.0,0.8755834560964203,0.0,0.9097086196784081
test/tsimane_C10_20170709_52440,64.89231727962529,1.0,0.38710187619857234,1.0,0.36707937639775695,0.49043461138493516
test/tsimane_C10_20170709_56040,60.0,1.0,1.0,0.0,1.0,0.0
test/tsimane_C10_20170709_5640,60.0,1.0,0.0,1.0,1.0,0.0
test/tsimane_C10_20170709_9240,45.41814648479761,0.47604857334426004,0.0,0.02460066994819218,1.0,0.7702580809474286
test/tsimane_C10_C11_M06_20170709_12840,24.84730190362762,0.0,0.43138388750164247,0.15467638263499756,0.0,0.6563048250447409
test/tsimane_C10_C11_M06_20170709_16440,23.054394573557985,0.2610110710951064,0.0,0.18202766511491592,0.0,0.7096809924678769
test/tsimane_C10_C11_M06_20170709_20040,56.44620935528197,0.42438642397387216,0.0,0.570250788468418,1.0,0.8276732553218088
test/tsimane_C10_C11_M06_20170709_2040,49.388056631835724,0.20841446605552755,0.3406219151036528,0.35816032879419024,1.0,0.5622061216384158
test/tsimane_C10_C11_M06_20170709_23640,52.00071160181699,1.0,0.0,0.33018480492813185,0.5626709593086584,0.7071798158540589
test/tsimane_C10_C11_M06_20170709_27240,49.90952598255939,0.3439368966329174,0.0,0.4250684752836826,1.0,0.7264709272113699
test/tsimane_C10_C11_M06_20170709_30840,94.40529771646794,0.8121833839918948,1.0,1.0,1.0,0.9080815018315019
test/tsimane_C10_C11_M06_20170709_34440,54.49717879970388,0.36836681191126225,1.0,0.5496816429019821,0.0,0.8068104851719493
test/tsimane_C10_C11_M06_20170709_38040,35.705841515496566,0.0,0.0,0.8755834560964203,0.0,0.9097086196784081
test/tsimane_C10_C11_M06_20170709_52440,64.89231727962529,1.0,0.38710187619857234,1.0,0.36707937639775695,0.49043461138493516
test/tsimane_C10_C11_M06_20170709_56040,60.0,1.0,1.0,0.0,1.0,0.0
test/tsimane_C10_C11_M06_20170709_5640,60.0,1.0,0.0,1.0,1.0,0.0
test/tsimane_C10_C11_M06_20170709_9240,45.41814648479761,0.47604857334426004,0.0,0.02460066994819218,1.0,0.7702580809474286
test/tsimane_C12_20170709_12840,57.957404198544396,0.0,0.20097555774715467,0.8512886904368736,1.0,0.8456059617431918
test/tsimane_C12_20170709_16440,46.92711014479284,0.2051594026564689,0.487276458854593,0.9512743813502756,0.0,0.7026452643783045
test/tsimane_C12_20170709_20040,30.688542143342378,0.23546725533480461,0.0,0.5621539011174405,0.0,0.7368059507148739
test/tsimane_C12_20170709_2040,45.193388863933606,1.0,0.5958882512455073,0.0,0.0,0.663781191951173
test/tsimane_C12_20170709_23640,32.51781970766442,0.0,0.0,0.840354067820497,0.0,0.785536917562724
test/tsimane_C12_20170709_27240,54.948617825113764,0.0,0.0,0.8351301777490401,1.0,0.9123007135066485
test/tsimane_C12_20170709_30840,27.87107477092941,0.46687905851221423,0.34175382347998096,0.0,0.0,0.5849208565542752
test/tsimane_C12_20170709_34440,40.071399465509025,0.0,0.0,0.7644002255699669,0.53561006302954,0.7035596846759443
test/tsimane_C12_20170709_38040,37.99104758753785,0.6053292968526874,0.48644513728717287,0.0,0.0,0.8077779452370323
test/tsimane_C12_20170709_41640,52.02714411270439,0.02533296358199118,1.0,0.0,1.0,0.5760242420532284
